Event	ID	Name			Wwise Object Path	Notes
	34671830	Play_EFX_Deer_Enemy_Detected			\Default Work Unit\Play_Events\Effects\Play_EFX_Deer_Enemy_Detected	
	218380646	Play_EFX_Rabbit_Run			\Default Work Unit\Play_Events\Effects\Play_EFX_Rabbit_Run	
	316894959	Play_EFX_Slap1			\Default Work Unit\Play_Events\Effects\Play_EFX_Slap1	
	351620247	Play_EFX_Rabbit_Death			\Default Work Unit\Play_Events\Effects\Play_EFX_Rabbit_Death	
	581896828	Play_EFX_Deer_Exclaim			\Default Work Unit\Play_Events\Effects\Play_EFX_Deer_Exclaim	
	693756879	Play_EFX_Rabbit_Pain			\Default Work Unit\Play_Events\Effects\Play_EFX_Rabbit_Pain	
	789067003	Play_EFX_Deer_Die			\Default Work Unit\Play_Events\Effects\Play_EFX_Deer_Die	
	805848909	Stop_EFX_DeerRun			\Default Work Unit\Stop_Events\Effects\Stop_EFX_DeerRun	
	921713726	Play_EFX_Deer_Run			\Default Work Unit\Play_Events\Effects\Play_EFX_Deer_Run	
	1167721271	Stop_EFX_DeerExclaim			\Default Work Unit\Stop_Events\Effects\Stop_EFX_DeerExclaim	
	1621476486	Play_EFX_GUI_Button_Back			\Default Work Unit\Play_Events\Effects\Play_EFX_GUI_Button_Back	
	1864584596	Stop_EFX_Rabbit_Run			\Default Work Unit\Stop_Events\Effects\Stop_EFX_Rabbit_Run	
	1954071212	Play_MUS_GUI_Intro			\Default Work Unit\Play_Events\Music\Play_MUS_GUI_Intro	
	2151123781	Play_EFX_GUI_Button_Over			\Default Work Unit\Play_Events\Effects\Play_EFX_GUI_Button_Over	
	2584030508	Stop_EFX_RabbitRuns			\Default Work Unit\Stop_Events\Effects\Stop_EFX_RabbitRuns	
	2610643847	Stop_EFX_RabbitsRunAttacks			\Default Work Unit\Stop_Events\Effects\Stop_EFX_RabbitsRunAttacks	
	3112511213	Play_EFX_Deer_Run_Attack			\Default Work Unit\Play_Events\Effects\Play_EFX_Deer_Run_Attack	
	3187607523	Play_EFX_Sword			\Default Work Unit\Play_Events\Effects\Play_EFX_Sword	
	3224478256	Play_EFX_Deer_Run_Attack_Charged			\Default Work Unit\Play_Events\Effects\Play_EFX_Deer_Run_Attack_Charged	
	3236107786	Play_EFX_Punch2			\Default Work Unit\Play_Events\Effects\Play_EFX_Punch2	
	3236107787	Play_EFX_Punch3			\Default Work Unit\Play_Events\Effects\Play_EFX_Punch3	
	3241105985	Stop_EFX_DeerPains			\Default Work Unit\Stop_Events\Effects\Stop_EFX_DeerPains	
	3296935749	Play_EFX_Rabbit_Run_Attack			\Default Work Unit\Play_Events\Effects\Play_EFX_Rabbit_Run_Attack	
	3725010535	Play_EFX_Deer_Pain			\Default Work Unit\Play_Events\Effects\Play_EFX_Deer_Pain	
	4027779470	Stop_All_EFX_Rabbit			\Default Work Unit\Stop_Events\Effects\Stop_All_EFX_Rabbit	
	4101543520	Play_MUS_Level_1			\Default Work Unit\Play_Events\Music\Play_MUS_Level_1	
	4146057876	Stop_EFX_DeerEnemyDetected			\Default Work Unit\Stop_Events\Effects\Stop_EFX_DeerEnemyDetected	
	4151175976	Play_EFX_GUI_Button_Next			\Default Work Unit\Play_Events\Effects\Play_EFX_GUI_Button_Next	

Effect plug-ins	ID	Name	Type				Notes
	315975526	Forest (Define custom)	iZotope Hybrid Reverb			
	460978243	Forest (Define custom)	iZotope Hybrid Reverb			
	551960096	Forest (Define custom)	iZotope Hybrid Reverb			
	868295164	Forest (Define custom)	iZotope Hybrid Reverb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	18890471	EFX_GUI_Button_Next	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\gui_next_ab9e423f.wem		\Actor-Mixer Hierarchy\GUI_Work_Unit\Effects\EFX_GUI_Button_Next		4986
	22097105	Slap1	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\slap1_ab9e423f.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Effects\Punches and Slaps\Slap1		72388
	37755739	EFX_Rabbit_run_7	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\rabbitsrun7_ab9e423f.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Effects\Rabbit\Rabbit_run\EFX_Rabbit_run_7		87208
	89371522	EFX_Deer_pain_1	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\deerpain1_ab9e423f.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Effects\Deer\Deer_pain\EFX_Deer_pain_1		212804
	120361905	EFX_Rabbit_run_5	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\rabbitsrun5_ab9e423f.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Effects\Rabbit\Rabbit_run\EFX_Rabbit_run_5		98316
	125580310	EFX_Rabbit_death_3	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\rabbitsdeath3_ab9e423f.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Effects\Rabbit\Rabbit_death\EFX_Rabbit_death_3		397320
	231337779	EFX_GUI_Button_Over	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\gui_over_ab9e423f.wem		\Actor-Mixer Hierarchy\GUI_Work_Unit\Effects\EFX_GUI_Button_Over		4986
	293968434	EFX_Rabbit_death_6	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\rabbitsdeath6_ab9e423f.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Effects\Rabbit\Rabbit_death\EFX_Rabbit_death_6		339632
	324106989	Punch2	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\punch2_ab9e423f.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Effects\Punches and Slaps\Punch2		140044
	340023046	EFX_Rabbit_run_6	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\rabbitsrun6_ab9e423f.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Effects\Rabbit\Rabbit_run\EFX_Rabbit_run_6		151592
	346081533	EFX_Rabbit_pain_3	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\rabbitpains3_ab9e423f.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Effects\Rabbit\Rabbit_pain\EFX_Rabbit_pain_3		150180
	346998385	EFX_Rabbit_run_8	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\rabbitsrun8_ab9e423f.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Effects\Rabbit\Rabbit_run\EFX_Rabbit_run_8		132188
	356313677	EFX_Rabbit_pain_5	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\rabbitpains5_ab9e423f.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Effects\Rabbit\Rabbit_pain\EFX_Rabbit_pain_5		112428
	371389096	EFX_Deer_pain_2	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\deerpain2_ab9e423f.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Effects\Deer\Deer_pain\EFX_Deer_pain_2		98848
	423272026	EFX_Rabbit_death_4	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\rabbitsdeath4_ab9e423f.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Effects\Rabbit\Rabbit_death\EFX_Rabbit_death_4		318464
	456686198	EFX_Rabbit_run_attack_2	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\rabbitsrunattack2_ab9e423f.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Effects\Rabbit\Rabbit_run_attack\EFX_Rabbit_run_attack_2		355512
	486732723	EFX_Deer_run_3	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\deerrun3_ab9e423f.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Effects\Deer\Deer_run\EFX_Deer_run_3		585712
	500473518	EFX_Rabbit_run_3	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\rabbitsrun3_ab9e423f.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Effects\Rabbit\Rabbit_run\EFX_Rabbit_run_3		184228
	509819820	EFX_Rabbit_pain_1	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\rabbitpains1_ab9e423f.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Effects\Rabbit\Rabbit_pain\EFX_Rabbit_pain_1		151416
	521569964	EFX_Rabbit_pain_7	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\rabbitpains7_ab9e423f.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Effects\Rabbit\Rabbit_pain\EFX_Rabbit_pain_7		126544
	559523774	EFX_Rabbit_pain_2	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\rabbitpains2_ab9e423f.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Effects\Rabbit\Rabbit_pain\EFX_Rabbit_pain_2		144184
	574484578	MUS_Level_1	C:\Users\Marc\Documents\UAB\Wwise\Red_Forest\.cache\Windows\sfx\level_1_music_ab9e423e.wem		\Actor-Mixer Hierarchy\Game_Work_Unit\Music\MUS_Level_1		11349568
